category_name,category_id
Home&Kitchen|Kitchen&Dining|KitchenTools|ManualChoppers&Chippers|Choppers,148
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,149
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,150
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",151
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,152
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters",153
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters",154
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|Kettle&ToasterSets,155
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|StorageWaterHeaters",156
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",157
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DeepFatFryers|AirFryers,158
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets,159
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons",160
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders,161
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|HandheldVacuums",162
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|EggBoilers,163
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SandwichMakers,164
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MiniFoodProcessors&Choppers,165
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales|DigitalScales,166
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|VacuumSealers,167
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|CeilingFans",168
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|CanisterVacuums",169
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|PressureWashers,Steam&WindowCleaners",170
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HalogenHeaters",171
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Pop-upToasters,172
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors",173
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeGrinders|ElectricGrinders",174
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",175
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|DripCoffeeMachines",176
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,177
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterCartridges,178
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Rice&PastaCookers,179
Car&Motorbike|CarAccessories|InteriorAccessories|AirPurifiers&Ionizers,180
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums",181
"Home&Kitchen|Heating,Cooling&AirQuality|AirPurifiers|HEPAAirPurifiers",182
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterFilters&Purifiers,183
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBags,184
Home&Kitchen|Kitchen&HomeAppliances|SewingMachines&Accessories|Sewing&EmbroideryMachines,185
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|IroningAccessories|SprayBottles,186
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandMixers,187
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Mills&Grinders|WetGrinders,188
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|OvenToasterGrills,189
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers,190
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances,191
Health&PersonalCare|HomeMedicalSupplies&Equipment|HealthMonitors|WeighingScales|DigitalBathroomScales,192
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|EspressoMachines",193
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|TableFans",194
